"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2016-02-19;"SPPO";3526988
2016-02-20;"SPPO";2242383
2016-02-21;"SPPO";1440527
2016-02-22;"SPPO";3558113
2016-02-23;"SPPO";3582781
2016-02-24;"SPPO";3589013
2016-02-25;"SPPO";3524629
2016-02-26;"SPPO";3562057
2016-02-27;"SPPO";2238618
2016-02-28;"SPPO";1515673
2016-02-29;"SPPO";3310112
2016-03-01;"SPPO";3456215
2016-03-02;"SPPO";3579195
2016-03-03;"SPPO";3625951
2016-03-04;"SPPO";3615943
2016-03-05;"SPPO";2317658
2016-03-06;"SPPO";1485181
2016-03-07;"SPPO";3618153
2016-03-08;"SPPO";3674759
2016-03-09;"SPPO";3588548
2016-03-10;"SPPO";3621936
2016-03-11;"SPPO";3521226
2016-03-12;"SPPO";2157527
2016-03-13;"SPPO";1356359
2016-03-14;"SPPO";3573599
2016-03-15;"SPPO";3595288
2016-03-16;"SPPO";3337183
2016-03-17;"SPPO";3511371
2016-03-18;"SPPO";3554719
2016-03-19;"SPPO";2291400
2016-03-20;"SPPO";1470548
2016-03-21;"SPPO";3516197
2016-03-22;"SPPO";3570329
2016-03-23;"SPPO";3515255
2016-03-24;"SPPO";3171356
2016-03-25;"SPPO";1456540
2016-03-26;"SPPO";1905823
2016-03-27;"SPPO";1396862
2016-03-28;"SPPO";3383945
2016-03-29;"SPPO";3384287
2016-03-30;"SPPO";3421384
2016-03-31;"SPPO";3357339
2016-04-01;"SPPO";3515431
2016-04-02;"SPPO";2323225
2016-04-03;"SPPO";1513184
2016-04-04;"SPPO";3636332
2016-04-05;"SPPO";3720357
2016-04-06;"SPPO";3709271
2016-04-07;"SPPO";3722654
2016-04-08;"SPPO";3682765
2016-04-09;"SPPO";2376771
2016-04-10;"SPPO";1558155
2016-04-11;"SPPO";3632246
2016-04-12;"SPPO";3677096
2016-04-13;"SPPO";3651551
2016-04-14;"SPPO";3644739
2016-04-15;"SPPO";3605675
2016-04-16;"SPPO";2307920
2016-04-17;"SPPO";1472153
2016-04-18;"SPPO";3518312
2016-04-19;"SPPO";3571490
2016-04-20;"SPPO";3584841
2016-04-21;"SPPO";1662012
2016-04-22;"SPPO";2746591
2016-04-23;"SPPO";1827060
2016-04-24;"SPPO";1422589
2016-04-25;"SPPO";3437501
2016-04-26;"SPPO";3498500
2016-04-27;"SPPO";3401892
2016-04-28;"SPPO";3449367
2016-04-29;"SPPO";3419384
2016-04-30;"SPPO";2186373
2016-05-01;"SPPO";959187
2016-05-02;"SPPO";2548455
2016-05-03;"SPPO";2598135
2016-05-04;"SPPO";2596465
2016-05-05;"SPPO";2605290
2016-05-06;"SPPO";2606764
2016-05-07;"SPPO";1708914
2016-05-08;"SPPO";1072020
2016-05-09;"SPPO";2609310
2016-05-10;"SPPO";2653884
2016-05-11;"SPPO";2643754
2016-05-12;"SPPO";2570448
2016-05-13;"SPPO";2520897
2016-05-14;"SPPO";1625432
2016-05-15;"SPPO";1086009
2016-05-16;"SPPO";2611782
2016-05-17;"SPPO";2578193
2016-05-18;"SPPO";2454555
2016-05-19;"SPPO";2502822
2016-05-20;"SPPO";2567739
2016-05-21;"SPPO";1607386
2016-05-22;"SPPO";1042586
2016-05-23;"SPPO";2430944
2016-05-24;"SPPO";2508969
2016-05-25;"SPPO";2565289
2016-05-26;"SPPO";1134746
2016-05-27;"SPPO";2020443
2016-05-28;"SPPO";1472424
2016-05-29;"SPPO";1003108
2016-05-30;"SPPO";2501771
2016-05-31;"SPPO";2557798
2016-06-01;"SPPO";3577362
2016-06-02;"SPPO";3494399
2016-06-03;"SPPO";3529739
2016-06-04;"SPPO";2232047
2016-06-05;"SPPO";1328020
2016-06-06;"SPPO";3536863
2016-06-07;"SPPO";3340541
2016-06-08;"SPPO";3505377
2016-06-09;"SPPO";3574574
2016-06-10;"SPPO";3544744
2016-06-11;"SPPO";2284591
2016-06-12;"SPPO";1435228
2016-06-13;"SPPO";3477128
2016-06-14;"SPPO";3510139
2016-06-15;"SPPO";3553423
2016-06-16;"SPPO";3509633
2016-06-17;"SPPO";3517853
2016-06-18;"SPPO";2199061
2016-06-19;"SPPO";1377583
2016-06-20;"SPPO";3394683
2016-06-21;"SPPO";3385313
2016-06-22;"SPPO";3468295
2016-06-23;"SPPO";3393715
2016-06-24;"SPPO";3356182
2016-06-25;"SPPO";2124974
2016-06-26;"SPPO";1386999
2016-06-27;"SPPO";3317882
