"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2016-03-13;"BRT";282337
2016-03-14;"BRT";755630
2016-03-15;"BRT";781724
2016-03-16;"BRT";737835
2016-03-17;"BRT";759406
2016-03-18;"BRT";779335
2016-03-19;"BRT";494790
2016-03-20;"BRT";301668
2016-03-21;"BRT";754875
2016-03-22;"BRT";773653
2016-03-23;"BRT";765871
2016-03-24;"BRT";721772
2016-03-25;"BRT";306717
2016-03-26;"BRT";412070
2016-03-27;"BRT";282177
2016-03-28;"BRT";697423
2016-03-29;"BRT";709502
2016-03-30;"BRT";724342
2016-03-31;"BRT";728639
2016-04-01;"BRT";743464
2016-04-02;"BRT";466644
2016-04-03;"BRT";292149
2016-04-04;"BRT";735909
2016-04-05;"BRT";748045
2016-04-06;"BRT";755547
2016-04-07;"BRT";762713
2016-04-08;"BRT";766004
2016-04-09;"BRT";480909
2016-04-10;"BRT";301943
2016-04-11;"BRT";734923
2016-04-12;"BRT";748194
2016-04-13;"BRT";748973
2016-04-14;"BRT";747524
2016-04-15;"BRT";756433
2016-04-16;"BRT";477733
2016-04-17;"BRT";289374
2016-04-18;"BRT";723422
2016-04-19;"BRT";748267
2016-04-20;"BRT";753104
2016-04-21;"BRT";358791
2016-04-22;"BRT";612452
2016-04-23;"BRT";370551
2016-04-24;"BRT";271196
2016-04-25;"BRT";689483
2016-04-26;"BRT";723311
2016-04-27;"BRT";700931
2016-04-28;"BRT";703544
2016-04-29;"BRT";711760
2016-04-30;"BRT";446911
2016-05-01;"BRT";258725
2016-05-02;"BRT";727006
2016-05-03;"BRT";744661
2016-05-04;"BRT";746133
2016-05-05;"BRT";748260
2016-05-06;"BRT";755564
2016-05-07;"BRT";484141
2016-05-08;"BRT";293328
2016-05-09;"BRT";717653
2016-05-10;"BRT";737100
2016-05-11;"BRT";740160
2016-05-12;"BRT";727920
2016-05-13;"BRT";720380
2016-05-14;"BRT";448792
2016-05-15;"BRT";284462
2016-05-16;"BRT";709851
2016-05-17;"BRT";715570
2016-05-18;"BRT";701338
2016-05-19;"BRT";708270
2016-05-20;"BRT";737660
2016-05-21;"BRT";450617
2016-05-22;"BRT";272669
2016-05-23;"BRT";689284
2016-05-24;"BRT";720019
2016-05-25;"BRT";742973
2016-05-26;"BRT";320431
2016-05-27;"BRT";613864
2016-05-28;"BRT";422190
2016-05-29;"BRT";259190
2016-05-30;"BRT";706132
2016-05-31;"BRT";718624
2016-06-01;"BRT";734082
2016-06-02;"BRT";726282
2016-06-03;"BRT";737863
2016-06-04;"BRT";458791
2016-06-05;"BRT";255029
2016-06-06;"BRT";721144
2016-06-07;"BRT";694411
2016-06-08;"BRT";733864
2016-06-09;"BRT";743719
2016-06-10;"BRT";750741
2016-06-11;"BRT";473570
2016-06-12;"BRT";279086
2016-06-13;"BRT";712678
2016-06-14;"BRT";736466
2016-06-15;"BRT";745935
2016-06-16;"BRT";744239
2016-06-17;"BRT";751054
2016-06-18;"BRT";465435
2016-06-19;"BRT";279195
2016-06-20;"BRT";713748
2016-06-21;"BRT";713518
2016-06-22;"BRT";729729
2016-06-23;"BRT";716463
2016-06-24;"BRT";722641
2016-06-25;"BRT";447629
2016-06-26;"BRT";273306
2016-06-27;"BRT";697628
2016-06-28;"BRT";716923
2016-06-29;"BRT";715928
2016-06-30;"BRT";720950
2016-07-01;"BRT";732864
2016-07-02;"BRT";461659
2016-07-03;"BRT";278453
2016-07-04;"BRT";713189
2016-07-05;"BRT";728928
2016-07-06;"BRT";728939
2016-07-07;"BRT";739591
2016-07-08;"BRT";747296
2016-07-09;"BRT";472495
2016-07-10;"BRT";286843
2016-07-11;"BRT";715376
2016-07-12;"BRT";733367
2016-07-13;"BRT";728705
2016-07-14;"BRT";734150
2016-07-15;"BRT";747341
2016-07-16;"BRT";478728
2016-07-17;"BRT";278288
2016-07-18;"BRT";697956
2016-07-19;"BRT";672452
2016-07-20;"BRT";717588
2016-07-21;"BRT";715932
2016-07-22;"BRT";717050
2016-07-23;"BRT";464275
2016-07-24;"BRT";289071
2016-07-25;"BRT";704560
2016-07-26;"BRT";725342
2016-07-27;"BRT";729455
2016-07-28;"BRT";721985
2016-07-29;"BRT";730721
2016-07-30;"BRT";478023
2016-07-31;"BRT";296848
2016-08-01;"BRT";717785
2016-08-02;"BRT";740749
2016-08-03;"BRT";754636
2016-08-04;"BRT";549364
2016-08-05;"BRT";479026
2016-08-06;"BRT";584714
2016-08-07;"BRT";441733
2016-08-08;"BRT";785706
2016-08-09;"BRT";804923
2016-08-10;"BRT";794127
2016-08-11;"BRT";807649
2016-08-12;"BRT";807398
2016-08-13;"BRT";611377
2016-08-14;"BRT";441326
2016-08-15;"BRT";783628
2016-08-16;"BRT";795833
2016-08-17;"BRT";915323
2016-08-18;"BRT";667025
2016-08-19;"BRT";819833
2016-08-20;"BRT";631487
2016-08-21;"BRT";429533
2016-08-22;"BRT";457550
2016-08-23;"BRT";809279
2016-08-24;"BRT";792162
2016-08-25;"BRT";774892
2016-08-26;"BRT";806772
2016-08-27;"BRT";532039
2016-08-28;"BRT";381896
2016-08-29;"BRT";748667
2016-08-30;"BRT";807007
2016-08-31;"BRT";805290
2016-09-01;"BRT";739236
2016-09-02;"BRT";756716
2016-09-03;"BRT";477257
2016-09-04;"BRT";308255
2016-09-05;"BRT";759334
2016-09-06;"BRT";786242
2016-09-07;"BRT";374329
2016-09-08;"BRT";861920
2016-09-09;"BRT";922016
2016-09-10;"BRT";761542
2016-09-11;"BRT";551413
2016-09-12;"BRT";843588
2016-09-13;"BRT";959890
2016-09-14;"BRT";875973
2016-09-15;"BRT";895940
2016-09-16;"BRT";910763
2016-09-17;"BRT";608990
2016-09-18;"BRT";361852
2016-09-19;"BRT";741761
2016-09-20;"BRT";727317
2016-09-21;"BRT";739898
2016-09-22;"BRT";757626
2016-09-23;"BRT";752971
2016-09-24;"BRT";451764
2016-09-25;"BRT";232210
2016-09-26;"BRT";702912
2016-09-27;"BRT";717451
2016-09-28;"BRT";730596
2016-09-29;"BRT";729307
2016-09-30;"BRT";709799
2016-10-01;"BRT";427133
2016-10-02;"BRT";348780
2016-10-03;"BRT";704365
2016-10-04;"BRT";706560
2016-10-05;"BRT";745125
2016-10-06;"BRT";746864
2016-10-07;"BRT";765497
2016-10-08;"BRT";479438
2016-10-09;"BRT";286671
2016-10-10;"BRT";739036
2016-10-11;"BRT";775862
2016-10-12;"BRT";346480
2016-10-13;"BRT";746807
2016-10-14;"BRT";739776
2016-10-15;"BRT";449960
2016-10-16;"BRT";288431
2016-10-17;"BRT";570139
2016-10-18;"BRT";742009
2016-10-19;"BRT";738735
2016-10-20;"BRT";734997
2016-10-21;"BRT";735464
2016-10-22;"BRT";437119
2016-10-23;"BRT";262373
2016-10-24;"BRT";708970
2016-10-25;"BRT";722472
2016-10-26;"BRT";729995
2016-10-27;"BRT";712733
2016-10-28;"BRT";664088
2016-10-29;"BRT";431922
2016-10-30;"BRT";340719
2016-10-31;"BRT";692547
2016-11-01;"BRT";714091
2016-11-02;"BRT";362749
2016-11-03;"BRT";704157
2016-11-04;"BRT";692487
2016-11-05;"BRT";421166
2016-11-06;"BRT";285649
2016-11-07;"BRT";733642
2016-11-08;"BRT";743040
2016-11-09;"BRT";741470
2016-11-10;"BRT";733903
2016-11-11;"BRT";726218
2016-11-12;"BRT";457105
2016-11-13;"BRT";256390
2016-11-14;"BRT";584307
2016-11-15;"BRT";314633
2016-11-16;"BRT";729058
2016-11-17;"BRT";720048
2016-11-18;"BRT";700276
2016-11-19;"BRT";456886
2016-11-20;"BRT";276945
2016-11-21;"BRT";701218
2016-11-22;"BRT";715035
2016-11-23;"BRT";686677
2016-11-24;"BRT";700106
2016-11-25;"BRT";719253
2016-11-26;"BRT";459728
2016-11-27;"BRT";290725
2016-11-28;"BRT";689788
2016-11-29;"BRT";680368
2016-11-30;"BRT";710719
2016-12-01;"BRT";721332
2016-12-02;"BRT";724753
2016-12-03;"BRT";461567
2016-12-04;"BRT";257446
2016-12-05;"BRT";688476
2016-12-06;"BRT";712324
2016-12-07;"BRT";721216
2016-12-08;"BRT";713466
2016-12-09;"BRT";702902
2016-12-10;"BRT";470192
2016-12-11;"BRT";278207
2016-12-12;"BRT";668270
2016-12-13;"BRT";677978
2016-12-14;"BRT";656305
2016-12-15;"BRT";672305
2016-12-16;"BRT";681822
2016-12-17;"BRT";451487
2016-12-18;"BRT";289303
2016-12-19;"BRT";661663
2016-12-20;"BRT";684580
2016-12-21;"BRT";675142
2016-12-22;"BRT";661022
2016-12-23;"BRT";625188
2016-12-24;"BRT";325595
2016-12-25;"BRT";200807
2016-12-26;"BRT";547329
2016-12-27;"BRT";593122
2016-12-28;"BRT";593399
2016-12-29;"BRT";585664
2016-12-30;"BRT";544624
2016-12-31;"BRT";329053
2017-01-01;"BRT";235035
2017-01-02;"BRT";516577
2017-01-03;"BRT";575171
2017-01-04;"BRT";597585
2017-01-05;"BRT";604957
2017-01-06;"BRT";624256
2017-01-07;"BRT";423073
2017-01-08;"BRT";280300
2017-01-09;"BRT";619019
2017-01-10;"BRT";623343
2017-01-11;"BRT";614803
2017-01-12;"BRT";603589
2017-01-13;"BRT";602423
2017-01-14;"BRT";401795
2017-01-15;"BRT";264683
2017-01-16;"BRT";597051
2017-01-17;"BRT";614794
2017-01-18;"BRT";620306
2017-01-19;"BRT";622711
2017-01-20;"BRT";310075
2017-01-21;"BRT";374452
2017-01-22;"BRT";242754
2017-01-23;"BRT";592431
2017-01-24;"BRT";603048
2017-01-25;"BRT";609650
2017-01-26;"BRT";605233
2017-01-27;"BRT";621981
2017-01-28;"BRT";406565
2017-01-29;"BRT";263691
2017-01-30;"BRT";596744
2017-01-31;"BRT";612483
2017-02-01;"BRT";639614
2017-02-02;"BRT";638094
2017-02-03;"BRT";645238
2017-02-04;"BRT";424846
2017-02-05;"BRT";265643
2017-02-06;"BRT";658666
2017-02-07;"BRT";671106
2017-02-08;"BRT";670098
2017-02-09;"BRT";671859
2017-02-10;"BRT";637239
2017-02-11;"BRT";418590
2017-02-12;"BRT";261675
2017-02-13;"BRT";653162
2017-02-14;"BRT";665147
2017-02-15;"BRT";672064
2017-02-16;"BRT";675067
2017-02-17;"BRT";680085
2017-02-18;"BRT";440662
2017-02-19;"BRT";275665
2017-02-20;"BRT";664861
2017-02-21;"BRT";670725
2017-02-22;"BRT";672008
2017-02-23;"BRT";652496
2017-02-24;"BRT";600809
2017-02-25;"BRT";358908
2017-02-26;"BRT";245101
2017-02-27;"BRT";295145
2017-02-28;"BRT";275228
2017-03-01;"BRT";351429
2017-03-02;"BRT";564723
2017-03-03;"BRT";582649
2017-03-04;"BRT";395113
2017-03-05;"BRT";255729
2017-03-06;"BRT";664904
2017-03-07;"BRT";675002
2017-03-08;"BRT";668040
2017-03-09;"BRT";676399
2017-03-10;"BRT";690869
2017-03-11;"BRT";425501
2017-03-12;"BRT";265889
2017-03-13;"BRT";663548
2017-03-14;"BRT";664502
2017-03-15;"BRT";647220
2017-03-16;"BRT";680657
2017-03-17;"BRT";681496
2017-03-18;"BRT";396890
2017-03-19;"BRT";220322
2017-03-20;"BRT";657145
2017-03-21;"BRT";672087
2017-03-22;"BRT";670825
2017-03-23;"BRT";672454
2017-03-24;"BRT";670807
2017-03-25;"BRT";406403
2017-03-26;"BRT";244733
2017-03-27;"BRT";649054
2017-03-28;"BRT";644949
2017-03-29;"BRT";657519
2017-03-30;"BRT";670085
2017-03-31;"BRT";674065
2017-04-01;"BRT";404259
2017-04-02;"BRT";233144
2017-04-03;"BRT";664930
2017-04-04;"BRT";685657
2017-04-05;"BRT";688705
2017-04-06;"BRT";683593
2017-04-07;"BRT";692365
2017-04-08;"BRT";412198
2017-04-09;"BRT";247577
2017-04-10;"BRT";671852
2017-04-11;"BRT";685355
